word,polarity
고요하고 아름다운,2
고요함,1
고요해짐,1
고운,2
고운 빛깔,2
고움,2
고자질함,-1
고작,-1
고장나다,-1
고지혈증,-1
고질병,-1
고집,-1
고집스레,-1
고집스레 싫다고,-1
고집을,-1
고집을 부리거나,-1
고집을 부리는,-1
고집을 부림,-1
고집이,-1
고집이 세어,-1
고집이 센,-1
고집이 있는,-1
고쳐,1
고쳐 세우다,1
고쳐 지음,1
고쳐 짓다,1
고충,-2
고치기 어려운,-1
고치긱 어려운,-1
고치다,1
고치어 바로잡다,2
고타분히,-1
고통,-2
고통스러운,-2
고통스러운 상태,-2
고통스러운 일이나,-2
고통스럽거나,-2
고통스럽게,-2
고통스럽게 일함,-2
고통스럽다,-2
고통을,-2
고통을 당하여,-2
고통을 이른다,-2
고통을 주다,-2
고통을 주며,-2
고통이,-2
고통이 지속되는,-2
고통이나,-2
고통이나 곤란에,-2
고통이나 시달림으로,-2
고통이나 어려운,-2
고통이라는,-2
고통이라는 뜻으로,-2
고품질,2
고한,-2
고함,-1
고함을 지르면서,-1
고혈압,-1
곤궁하고,-2
곤궁하다,-2
곤궁하여,-1
곤궁함,-1
곤란에,-1
곤란에 대하여,-1
곤란이나,-1
곤란이나 시련이,-1
곤란하게,-1
곤란하게 되다,-1
곤란하다,-1
곤란하여 지는,-1
곤란한,-1
곤란한 병,-1
곤란한 사정을,-1
곤란한 상태를,-1
곤장으로 치던,-1
곤혹스러운,-2
곤혹스럽다,-2
곧게,1
곧게 되다,1
곧고,1
곧고 올바름,1
곧다,1
곧바르지 아니하고,-1
곧잘 흥분하는,-1
곧장 나아가다,1
곧지 못하고,-1
골골 앓아서,-2
골나다,-2
골똘하게,0
골리는,-2
골리는 짓,-2
골이 나게,-2
곪느라고,-1
곪느라고 쑤시다,-1
곯려 주다,-1
곯리거나,-1
곯아서,-1
곯아서 물크러질,-1
곯은,-1
곯은 듯하다,-1
곰살갑지 못하며,-1
곰살궂지 못하고,-1
곰팡내,-1
곰팡이,-2
곱거나,2
곱게,2
곱게 꾸며,2
곱게 피어나는,2
곱게 피어나다,2
곱고,2
곱고 바르며,2
곱고 보드라운,2
곱고 보드랍다,2
곱고 아름답다,2
곱다,2
곱살스러우면서도,2
곱살스러우면서도 트인,2
곱살스럽게,2
곱살스레,2
곱실대다,-1
곱절 용감하다,2
곱지 아니하다,-1
곱지 않고,-1
곳에서 평안히,1
공갈,-1
공개적으로 비난하다,-2
공격받다,-2
공격하다,0
공경의,2
공경의 예를,2
공경하는,2
공경하는 마음으로,2
공경하다,2
공경하며,2
공경하여,2
공경하여 모시다,2
공경할,2
공경할 만하다,2
공공연히 불법적으로,-1
공교롭고,-1
공교롭고 이상하다,-1
공기가 상쾌하다,2
공덕으로,2
공덕을,2
공덕을 칭송하는,2
공덕의 힘,2
공덕이 있는,1
공로에,1
공로와,1
공로와 업적,1
공범자에,-1
공손하게,2
공손하다,1
공손하지 아니하고,-1
공손함을,2
공손함을 더하여,2
공손히,2
공손히 진찰하다,2
공연한,-1
공연한 짓을,-1
공연히,-1
공연히 놀며,-1
공연히 미워하고,-2
공익을,2
공익을 목적으로,2
공적의,0
공적이 많은,2
공정하다,2
공정하여,2
공정한,1
공정함,2
공평하다,1
공평하여,1
공평하여 어느,1
공평함,1
공포,-2
공포나,-1
공포나 긴장으로,-2
공포증,-2
공허하다,-1
공허한,-1
공허한 느낌,-1
공허한 느낌이,-1
공황상태,-1
공황장애,-1
과거에 급제하여,2
과격하다,-1
과격한,-1
과금,-1
과대망상에,-1
과대망상에 빠진,-1
과도하게,-1
과로,-1
과로 따위가,-1
과로 따위로,-1
과로로,-1
과식을,-1
과식을 하거나,-1
과음,-2
과음하거나,-1
과장되다,-2
과장되어,-1
과장된,-2
과체중,-2
과하다,-1
관계가 끊어지거나,-1
관계가 끊어지는,-1
관계가 끊어지다,-1
관계가 맺어지다,1
관계를 끊다,-1
관계를 맺다,1
관계없는,-1
관계없는 행동을,-1
관광할 만한,1
관능적이다,1
관람객이 줄어들다,-1
관심병,-1
관심을 가지지 아니하고,-1
관심을 가짐,1
관심을 기울이다,1
관심이 있다,1
관심이나,1
관심이나 좋아하는,2
관심이나 흥미,1
관절염,-2
관절이 저리고,-1
관철하려고 다투는,-1
괄시,-2
괄시하다,-2
광견병을,-1
광명이,2
광탈,-1
괘씸하고,-1
괘씸하고 얄미운,-2
괘씸하고 얄밉다,-2
괘씸한,-2
괘씸한 데가,-2
괜찮거나,1
괜찮고,1
괜찮다,1
괜한 트집을,-1
괜히 트집을,-1
괴로운,-2
괴로운 느낌,-2
괴로운 느낌을,-2
괴로운 모양,-2
괴로운 상태가,-2
괴로운 상태로,-2
괴로운 상태에,-2
괴로울,-2
괴로울 때에,-2
괴로움,-2
괴로움과,-2
괴로움과 아픔,-2
괴로움을,-2
괴로움을 가져오며,-2
괴로움을 느끼다,-2
괴로움을 없애,1
괴로움이나,-2
괴로워,-2
괴로워하는,-2
괴로워하는 모양이나,-2
